id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
258,328,"Z MAYUR TRADERS, A.K.ROAD",ROLL (V),EXTRA,160489
259,329,"MATAJI KARIYANA STORE ( MADAN LAL ), BHAGIRATH 1",BHAGIRATH 1,VIPULBHAI,161625
260,330,"MAHESH TRADERS, SANTOSHI NAGAR",SANTOSHI NAGAR D,VIPULBHAI,210610
261,331,"Z MAMATA FARSAN RAJIV NAGAR, PARBAT PATIYA",ROLL (N),EXTRA,3068
262,332,"MAHALAXMI DEPARTMENT STORE, GODADRA   (Unclear Cheque :      29240)",GODADARA 2,NITINBHAI 2,415796
263,333,"MANGALAM TRADING, UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,97235
264,334,"M.B TRADERS, NANPURA",NANPURA,NITINBHAI 1,300
265,335,"MARUTI AGENCY ( JITUBHAI ), KATARGAM",KATAR GAM 1,NITINBHAI 1,342771
266,336,"MANOJ TRADERS (ADAJAN PATIYA), PALANPUR PATIYA",PALANPUR PATIYA,NITINBHAI 1,255482
267,337,"MAHADEV TOBECO ( KAN BHAI ), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,0
268,338,"MAHASHAKTI KARIYANA STORE, ANJALI SOC.",ANJALI SOCIETY,VIPULBHAI,270156
269,340,"MAHALAXMI SUPER STORE, TRIKAM NAGAR",TRIKAM NAGAR,VIPULBHAI,45690
270,341,"MARUTI TRADERS (PRAMODJI), KAMREJ   (Unclear Cheque :      45000)",KAMREJ,VIPULBHAI,90107
271,342,"MADANLAL ( GANESH ), KAPODRA",KAPODRA CHAR RASTA D,VIPULBHAI,358756
272,344,"MAHASHAKTI KARIYANA STORE, BHAGIRATH 2",BHAGIRATH 2,VIPULBHAI,10580
273,345,"MARUTI TRADING, PALSANA",PALSANA,VIPULBHAI,414427
274,346,"MAYUR TRADERS ( GOPALJI ), KAMREJ",KAMREJ,VIPULBHAI,401794
275,347,"MAHESHWARI KARIYANA STORE, TRIKAM NAGAR   (Unclear Cheque :      75000)",TRIKAM NAGAR,VIPULBHAI,789441
276,348,"Z MATAJI PROVISION STORE LABHESHWAR, VIVEKANAND",ROLL (V),EXTRA,2101
277,349,"MATAJI KARIYANA STORE, DASHARATH NAGAR",DASHARATH NAGAR,VIPULBHAI,16330
278,350,"MARUTI STORES, VARSHA 1",VARSHA 1,VIPULBHAI,587477
279,351,"MEHTA SUPER STORES, SACHIN   (Unclear Cheque :      70000)",SACHIN,VIPULBHAI,520784
280,352,"MATAJI KARIYANA (DHARMIK NAGAR), GODADRA   (Unclear Cheque :     172800)",GODADARA 1,NITINBHAI 2,1067107
281,353,"MANGAL TRADERS (VED ROAD), KATAR GAM",KATAR GAM 1,NITINBHAI 1,7390
282,354,"MARYADA TRADERS, BARDOLI",BARDOLI,DHIRENBHAI,87250
283,355,"MILAN FARSAN, MAHAPRABHU NAGAR",MAHAPRABHU NAGAR,NITINBHAI 2,71400
284,356,"MARUTI KARIYANA (SHANKAR BHAI), UDHNA YARD",UDHNA YARD,NITINBHAI 2,541990
285,357,"Z MARUTI TRADING, AMROLI",ROLL (D),EXTRA,500
286,358,"Z MANISH JIVRAJ TEA {NAVDURGA}, MATAVADI",ROLL (V),EXTRA,275580
287,359,"MARUTI TRADING (SHYAMDHAM), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,497544
288,360,"MANGILAL KAJODIMAL, KIM",KIM,DHIRENBHAI,136775
289,361,"MANGAL TRADERS, MOB . 98791 78171 AMROLI",AMROLI,VIPULBHAI,35540
290,362,"MATAJI TOBECO (AASPAS), GODADRA",GODADARA 2,NITINBHAI 2,244746
291,363,"MAHADEV TRADERS (PAGATHIYA SHERI), BHAGAL",BHAGAL,NITINBHAI 1,0
292,365,"MA KRUPA PROVISION STORE, BHAGAL   (Unclear Cheque :    1688250)",BHAGAL,NITINBHAI 1,1727730
293,368,"MAHESH SUPER, A.K.ROAD",A.K.ROAD V,VIPULBHAI,8160
294,369,"MAYA FARSAN, BARDOLI",BARDOLI,DHIRENBHAI,0
295,370,"MAHAVEER KIRANA (T.V.S SHOW ROOM), KAMREJ   (Unclear Cheque :      31825)",KAMREJ,VIPULBHAI,291801
296,371,"Z MAHAVEER TRADING (PINTU BHAI), PANDESARA",ROLL (N),EXTRA,13130
297,372,"MADHAV TRADERS, NANA VARACHHA",NANA VARACHHA,VIPULBHAI,29480
298,373,"MAYUR FARSAN, AMROLI",AMROLI,VIPULBHAI,57000
299,374,"MAHADEV TRADERS, GODADRA",GODADARA 2,NITINBHAI 2,85785
300,375,"MAHALAXMI TRADERS (SHAK MARKET), BARDOLI",BARDOLI,DHIRENBHAI,19500
301,376,"MAHAVEER MASALA, MOHAN BAG",MOHAN BAG,VIPULBHAI,86797
302,377,"MAHAVEER TRADERS (LIMBAR), BARDOLI",BARDOLI,DHIRENBHAI,44704
303,378,"MANGAL TRADERS (NANA LAL), PANDESARA",PANDESARA,NITINBHAI 2,371142
304,379,"MAHALAXMI TRADERS (MALARAM), NILGIRI",GODADARA 2,NITINBHAI 2,1314260
305,380,"MARUTI TRADERS, SARDAR MARKET",PARBAT PATIYA,NITINBHAI 2,82985
306,382,"MAHADEV TRADERS, KIM",KIM,DHIRENBHAI,843
307,384,"MODHESHWARI KARIYANA, DARPAN CINEMA",DARPAN CINEMA,VIPULBHAI,0
308,385,"MAHESHWAR TRADERS, NANA VARACHHA",NANA VARACHHA,VIPULBHAI,0
309,386,"MAHALAXMI TRADERS (VIJYANAGAR), UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,176430
